n_alert_workers,n_enrichment_workers,n_filter_workers,wall_time_s,alerts_per_second,aps_per_alert_worker,aps_per_enrichment_worker,aps_per_filter_worker,filter_batch_mean,filter_batch_p50,filter_full_frac,filter_small_frac_lt500,enrich_enqueue_mean,enrich_enqueue_p50,alert_rate_mean,alert_active_s,enrich_active_s,filter_active_s,tail_idle_s
6,9,3,55.277857,527.1912042465757,87.86520070776261,58.57680047184174,175.73040141552522,582.84,562.0,0.44,0.46,354.28125,181.5,,25.722566,48.062712,49.646304,10.355894
6,10,1,77.412059,376.4529761441948,62.74216269069913,37.645297614419476,376.4529761441948,832.6285714285714,1000.0,0.7714285714285715,0.17142857142857143,371.7049180327869,221.0,,26.627441,41.838155,82.229266,0.0
6,10,2,55.210805,527.831463424596,87.971910570766,52.7831463424596,263.915731712298,693.8571428571429,1000.0,0.5714285714285714,0.3333333333333333,359.9047619047619,230.0,,25.414798,44.148975,54.246489,5.755224
6,10,3,55.287394,527.1002644834372,87.85004408057286,52.71002644834372,175.70008816114571,560.4230769230769,455.0,0.40384615384615385,0.5384615384615384,314.9166666666667,131.0,,26.174734,44.416566,45.974621,14.027854
6,13,3,37.006212,787.4894085349779,131.24823475582966,60.57610834884445,262.4964695116593,633.5217391304348,747.5,0.45652173913043476,0.41304347826086957,260.62068965517244,104.0,,23.86428,38.165761,41.813495,0.0
6,15,4,34.190278,852.3475591511716,142.05792652519526,56.82317061007811,213.0868897877929,511.2631578947368,464.0,0.2807017543859649,0.5614035087719298,158.55944055944056,70.0,,24.696388,37.100572,38.971171,0.0
6,16,3,36.840603,791.0293976458528,131.83823294097547,49.4393373528658,263.67646588195095,693.8571428571429,1000.0,0.5952380952380952,0.3333333333333333,102.13513513513513,60.0,,25.36242,33.279917,41.569502,0.0
7,9,1,77.943061,373.8883182942995,53.41261689918564,41.54314647714439,373.8883182942995,809.5,1000.0,0.6944444444444444,0.25,384.3050847457627,273.0,,28.284512,47.840815,82.767428,0.0
7,9,2,55.266773,527.2969348147033,75.32813354495761,58.588548312744805,263.64846740735163,677.7209302325581,1000.0,0.5348837209302325,0.37209302325581395,419.8888888888889,340.0,,27.296558,47.969671,55.567764,4.434499
7,9,3,55.160762999999996,528.310313619121,75.4729019455887,58.701145957680104,176.10343787304032,693.8571428571429,1000.0,0.5238095238095238,0.3333333333333333,462.734693877551,487.0,,26.523762,47.479094,48.899016,11.103603
7,10,2,55.129954,528.6055562462468,75.51507946374954,52.86055562462468,264.3027781231234,677.7209302325581,1000.0,0.5581395348837209,0.3488372093023256,354.28125,167.0,,27.626969,44.049027,53.95053,6.051037
7,11,1,76.911902,378.9010444703344,54.1287206386192,34.445549497303126,378.9010444703344,809.5,1000.0,0.7777777777777778,0.19444444444444445,348.83076923076925,158.0,,27.674972,39.539287,81.635356,0.0
7,15,3,36.747724,793.0287056689552,113.28981509556503,52.86858037793035,264.3429018896517,607.125,903.5,0.5,0.4166666666666667,146.28387096774193,71.0,,29.059577,34.389914,41.477151,0.0
8,8,2,55.33416,526.6547825068637,65.83184781335797,65.83184781335797,263.32739125343187,677.7209302325581,1000.0,0.5813953488372093,0.37209302325581395,453.48,603.0,,24.233853,52.260555,58.878436,1.123171
8,9,1,76.672834,380.08246832248307,47.51030854031038,42.231385369164784,380.08246832248307,787.6216216216217,1000.0,0.7297297297297297,0.21621621621621623,419.8888888888889,348.5,,24.760266,46.857206,81.364032,0.0
